,z_a_flux,z_a_fwhm,z_a_x,z_a_y,z_b_flux,z_b_fwhm,z_b_x,z_b_y,z_c_flux,z_c_fwhm,z_c_x,z_c_y
2017-02-15 14:18:15.853140,1549916.73687,509293.415417,38.9382359385,37.1026825864,1451915.17281,-693507.068077,38.9859288633,37.1980963544,1170201.12121,25.601810233,39.2749240339,38.3471124927
2017-02-15 14:19:19.198086,1532270.30542,825258.289111,38.9829484136,37.0162929779,1436520.17053,7.16061569699,39.0218240703,37.1319590509,1150469.83825,0.314813890728,39.2907964784,38.3244142068
2017-02-15 14:20:23.215785,1563443.28166,548581.238497,38.8761684596,37.1406969493,1473325.70896,2604131.03642,38.9109161678,37.2295715017,1169552.7025,0.323171766105,39.2645395058,38.4073829768
2017-02-15 14:21:27.114902,1520567.53625,2070094.04078,38.8629952664,37.0231531416,1418401.9348,1576123.24712,38.8845576166,37.1725144309,1147701.11783,0.321029197995,39.2458555619,38.3423505543
2017-02-15 14:22:30.800449,1546461.2333,1384643.4869,38.9764316973,37.0228973546,1455032.10245,68123574.2779,38.9955449121,37.1394453977,1157973.22582,0.324814869518,39.3047960873,38.3509160746
2017-02-15 14:23:34.261045,1530656.47645,1043368.97663,38.8229933893,36.994261266,1428874.16551,-2369961.68357,38.8525883886,37.1324539412,1140288.40477,0.323140571493,39.2079144582,38.3405845373
2017-02-15 14:24:39.082813,1577586.75213,-1427103.7874,38.9426816063,37.0155271273,1479635.47268,1.28139132995,38.9610994628,37.125903797,1160685.22306,0.324906979594,39.268156859,38.3279457727
2017-02-15 14:25:42.820236,1532469.06261,1927063.68801,38.8137765784,36.9478665733,1430735.72355,-1247961.26337,38.8172511047,37.0640619681,1133581.56432,0.329247697668,39.2163097372,38.292895449
2017-02-15 14:26:47.756874,1560641.96748,5.88006771109,39.0442220188,36.9434121165,1461961.98411,1.55007347175,39.0607530914,37.0527202569,1146374.57484,0.322102271617,39.3318172482,38.2926105758
2017-02-15 14:27:50.695398,1556955.44195,1449994.14396,38.8963777891,36.9867929282,1455624.18631,1428195.25517,38.8824980858,37.0906841297,1143553.70814,0.333880992435,39.238532625,38.3031599262
2017-02-15 14:28:54.712103,1558125.31968,0.345006415953,38.9114603523,36.971334011,1458852.53283,1.04253964404,38.932942879,37.0980475277,1145926.50568,0.326198450595,39.2883628927,38.2915502792
2017-02-15 14:29:58.324608,1539963.80281,2506519.4434,38.8743963125,36.9715475796,1438380.33527,1930220.97583,38.8926796734,37.0646186287,1133573.88697,0.325644246194,39.2576350996,38.2923555769
2017-02-15 14:31:02.677187,1554590.90661,0.340847672302,38.9207055924,36.9859324929,1457656.02567,1.18795373712,38.9458498559,37.0928435952,1142078.77868,0.324334774253,39.2707012503,38.301468504
2017-02-15 14:32:06.764851,1553254.42081,0.338922413794,38.9120784653,36.9386055816,1448385.45843,1.29151830843,38.9284130046,37.0696187655,1138743.34509,0.322416217849,39.2636611582,38.277724148
2017-02-15 14:33:11.579204,1557496.00236,0.186121768199,38.9012294443,36.9450856708,1456052.87503,0.341552270528,38.9256758659,37.0654635711,1140551.87797,0.328795884583,39.2494628721,38.3150486776
2017-02-15 14:34:15.522805,1563501.74132,0.33743802043,38.9198433155,36.9608541726,1468046.12703,0.327962367339,38.94384646,37.0746079664,1145435.86416,0.323429569052,39.2558317311,38.2774066372
2017-02-15 14:35:19.682364,1552970.24584,2237857.56501,38.8913279295,36.9616374446,1449139.84505,0.335012384895,38.941512906,37.0555219429,1140898.66871,0.331023825576,39.2640374027,38.3036877508
2017-02-15 14:36:23.613968,1587951.9741,0.330379300665,38.9618541787,37.0125014048,1488301.94911,0.322947578951,38.9768919935,37.1365236736,1163965.27756,1901270.41595,39.2815436907,38.3185007473
2017-02-15 14:37:28.500682,1565564.10375,-0.0146159573154,38.8925721772,37.0020721596,1464597.3499,0.334915958803,38.9296810333,37.119236506,1157286.66089,0.323586945697,39.2635898,38.3080611071
2017-02-15 14:38:31.395315,1597439.46929,0.327503992507,38.9949605328,37.0992320686,1503593.10766,0.327191941112,39.0120065851,37.2063646664,1181087.31017,0.322169362843,39.2870218262,38.344415969
2017-02-15 14:39:35.721855,1591565.56807,0.341923798716,38.9560725825,37.092030423,1494724.02876,0.328835711225,38.978361746,37.1986045007,1177784.93468,0.325301666887,39.2919943401,38.3680428322
2017-02-15 14:40:40.514439,1594571.50705,1.59458453216,38.9024540765,37.0874715001,1489929.7939,-0.0459865777124,38.915480493,37.1965728038,1187448.57543,0.312986602251,39.2709788349,38.3494745698
2017-02-15 14:41:45.083219,1588927.74913,0.338712613356,39.036785683,37.0622799039,1491585.89609,0.332789426618,39.0406066015,37.1790322163,1176714.73875,5.94773042885,39.3196056385,38.3551929288
2017-02-15 14:42:49.248773,1585084.21893,-923249.236199,38.977614169,37.1489529362,1490026.06554,0.334406704119,38.9710077378,37.2522175265,1182840.33242,0.32976572474,39.2876029897,38.3848016845
2017-02-15 14:43:52.731243,1562887.40141,1561627.82729,38.8822616349,37.1186097302,1463159.46644,0.337237518724,38.9275613498,37.2281750227,1169734.47984,0.324314948655,39.2513919432,38.3722416912
2017-02-15 14:44:56.518850,1564065.58287,-24.0552246269,38.9902592879,37.0930572967,1467931.06027,1.24784283693,39.0183805707,37.2244061043,1174718.41422,0.316213156835,39.2727778313,38.3702483321
2017-02-15 14:46:00.859625,1592175.67722,6.14782144347,39.008799525,37.1482187223,1498129.54581,-1018092.30552,39.0067910321,37.244034752,1184769.21593,0.317744921096,39.3254152875,38.4001154225
2017-02-15 14:47:05.415105,1565832.6755,0.3443989807,38.9289245857,37.0522585284,1466220.74919,0.331213554789,38.9372972472,37.1845296427,1161774.94167,0.326208591476,39.2588597818,38.3311230303
2017-02-15 14:48:09.662668,1545966.61886,3913771.66759,38.9816473634,37.0510611536,1449895.49356,-92134351.3284,39.0065560839,37.1707580554,1156209.49922,0.325213381572,39.2975704961,38.3373864722
2017-02-15 14:49:13.959441,1536611.08895,592299.652359,38.9676135913,37.0249409621,1442636.63629,1.98149898726,39.0140045693,37.1337693903,1146265.48776,0.325158080436,39.3100786082,38.3228599187
2017-02-15 14:50:16.782815,1508296.93178,26.3958954134,39.056998143,36.9544706996,1416131.27895,8.1028085879,39.0803235534,37.0657080435,1126001.92224,0.320577455089,39.3440321806,38.2903013218
2017-02-15 14:51:20.804425,1537507.59961,1445793.98799,38.9272196176,37.0598967623,1445640.55974,47321021.6514,38.949161756,37.1620751621,1142612.94237,0.319575227274,39.2892768369,38.3301767884
2017-02-15 14:52:25.037246,1522244.75612,2505741.16,38.9517941622,36.956542027,1426636.77963,3473232.51551,38.9935848044,37.0756934851,1125185.51638,0.320363584263,39.2687997795,38.2854833001
2017-02-15 14:53:29.968740,1522314.89845,24.744675515,38.9596771926,36.944260095,1424263.66402,3899409.37257,38.9697975948,37.0447203847,1131929.16878,0.325793622422,39.2947608746,38.2633816733
2017-02-15 14:54:34.706622,1553542.68399,1030501.51255,38.8339622255,37.0276376291,1459281.37572,1850468.0197,38.8890506312,37.1109182413,1136676.8744,0.321646844308,39.2368816793,38.3075126412
2017-02-15 14:55:38.965793,1517382.11581,6.62280473763,38.9900433324,36.8503467928,1423677.58198,-37516379.3978,39.0063926962,36.9779327362,1112797.00471,0.317695550095,39.3114948768,38.2427169808
2017-02-15 14:56:43.394446,1549122.43532,3566724.14262,38.9371564529,36.9771653851,1455170.27437,173386343.854,38.9599121912,37.0944666149,1132286.08023,0.324872872549,39.2850650952,38.2846907524
2017-02-15 14:57:47.740084,1492956.68649,1003895.41988,38.841855019,36.8855071872,1395256.89877,2145285.03281,38.8268588461,36.9738100472,1101199.96689,0.323043057625,39.2208911801,38.2360322938
2017-02-15 14:58:52.042792,1513130.17368,7.52344167987,39.0862350809,36.9098621276,1417110.61785,2.43608218234,39.1281339441,37.0212657125,1113727.50385,0.317703550513,39.353914758,38.2810842406
2017-02-15 14:59:56.108199,1528992.394,6.7882875935,38.9496913507,36.951180946,1435540.8413,16559500.637,38.9511643101,37.0443339622,1121220.30213,0.324736725083,39.3043309666,38.2573265238
2017-02-15 15:01:00.333809,1554888.237,0.334294768445,38.8801228405,36.9027746994,1455109.00061,0.33221690547,38.9069001852,37.0212357903,1127505.41673,0.321006354696,39.25504705,38.2521463466
2017-02-15 15:02:03.517375,1520261.90663,6.10244134425,38.9702284048,36.8460230932,1427447.48667,1602521.54756,38.9662331132,36.9702607372,1105171.4139,0.317537892733,39.2903359253,38.2220550029
2017-02-15 15:03:06.334889,1539820.54395,0.334876377787,38.9252243539,36.8511245567,1444318.43187,0.335247028736,38.931725971,36.9542559218,1109391.61912,0.314457415958,39.2621475879,38.2171764333
2017-02-15 15:04:10.614477,1519790.50826,5.69275172564,38.9161381064,36.7909405061,1424385.64338,0.338358138691,38.9439386624,36.9325950659,1098623.8042,0.324699740694,39.2726159908,38.215912124
2017-02-15 15:05:14.855965,1521978.31712,6.23754237187,39.0074974476,36.8038630176,1424479.65772,5.89218027065,39.0485028078,36.9196116995,1093163.79897,0.319572560468,39.3179476064,38.2126842534
2017-02-15 15:06:17.703560,1525325.71322,6.20484398097,38.9800909348,36.8032305273,1428725.97479,1.74035441085,38.9758716508,36.9500278885,1107056.22254,0.322361337788,39.3098085518,38.2200384216
2017-02-15 15:07:22.143153,1535765.3903,6.68096649733,38.9848745076,36.9017410699,1442204.69634,6.40717134799,39.0099381231,37.0007494768,1118867.10255,6.76085615529,39.3001767111,38.2434458481
2017-02-15 15:08:26.496813,1534554.65175,2.39079870426,38.9322350316,36.812196262,1437721.51427,0.336856305819,38.9573955735,36.9517782342,1102300.71956,0.322533416956,39.2466024082,38.2404492249
2017-02-15 15:09:31.019344,1520111.14373,0.340537515742,38.8629813838,36.7275333583,1425658.86291,0.336356560404,38.8844474743,36.8638074279,1083736.01028,0.324735496949,39.229951117,38.1644561625
2017-02-15 15:10:34.776999,1521577.51119,-2653936.32801,38.9029743783,36.6960301686,1427720.92058,0.328478815381,38.9396993551,36.8367465969,1080961.01828,0.319884015341,39.2764734179,38.1601921989
2017-02-15 15:11:39.420220,1498157.3395,5.77168375327,38.9733377061,36.6462935574,1401731.21733,5.71328677568,38.9808110105,36.7678186374,1066059.60879,0.31867577676,39.2928818319,38.1072754884
2017-02-15 15:12:42.348063,1486149.71424,2679266.00027,38.9590600537,36.6956148447,1392175.27718,6.8511885535,39.0083971057,36.8265034506,1064011.99421,0.321689548294,39.2985475301,38.1465649543
2017-02-15 15:13:46.898342,1481428.06072,2981029.74826,38.7454546106,36.6020464688,1377894.0405,0.339700033379,38.7686900661,36.7370201088,1044979.24719,0.329911311296,39.1860719107,38.0871990345
