mjd,aperture_sum_0,aperture_sum_1,aperture_sum_2,aperture_sum_err_0,aperture_sum_err_1,aperture_sum_err_2,bkg,fwhm,id,peak_flux,uncertainty,xcenter,ycenter
57799.5960011557,1439544.2809375,2940836.2150000003,4239573.213046875,1079.2475568039,1272.3319151031076,1398.2924943055896,266.81484059596255,9.515967307914297,1.0,2979.34375,78.31234741210938,705.4647281483747,303.3564121886504
57799.5967418998,1439918.8725,2935739.9986718753,4223293.057968751,1082.1445732624668,1273.4049770290915,1398.2456390593313,269.86909531029573,9.561805428009295,1.0,3030.765625,80.24341583251953,705.807366095029,303.0068670974239
57799.5974942148,1442901.3871875,2942985.9303906253,4257484.53203125,1086.9887222886964,1278.4241321840293,1406.0000330588282,265.28852101035017,9.025632092945694,1.0,2881.265625,71.92241668701172,705.0098711813687,303.88340427274056
57799.5982233807,1419506.418671875,2943637.4124218747,4306601.91765625,1063.2150880086026,1263.9816677541082,1398.1105694234259,255.47521148652598,9.402280085322033,1.0,2900.1953125,69.03154754638672,704.6698209424264,302.9964318595949
57799.5989641175,1480735.503828125,2959477.92234375,4247837.8354687495,1127.7240015001767,1308.0214828406888,1430.1086754854439,270.57058301037364,9.165112365817315,1.0,2943.7734375,73.73185729980469,705.7599876091513,303.18108317995495
57799.5997048616,1500052.0584375001,2963619.601796875,4307927.990625,1153.7256069016184,1326.9374565558242,1451.7865386200071,252.67500057859766,8.49798107890777,1.0,2784.19140625,60.7587776184082,704.5731646284976,303.1025127668838
57799.6004340276,1586886.856171875,2967920.448125,4239977.77578125,1296.9972666668234,1436.191146847523,1544.8919201599786,264.76119316225396,7.521869172695241,1.0,2753.3984375,56.597984313964844,705.5283826451853,303.4243732203333
57799.6011747718,1533858.616640625,2970263.8207812505,4309516.394921875,1199.6875123506284,1361.238442212685,1481.6406735343057,248.2666024171499,8.145498005263185,1.0,2757.279296875,58.90562438964844,704.4558649279045,303.0335429926308
57799.6019155085,1562380.34375,2985608.5270312503,4239365.77765625,1240.971002031595,1394.6199522901154,1505.5813805104804,273.6089297173608,8.45966378564008,1.0,2834.689453125,64.90274047851562,706.107597940548,303.1459945858641
57799.6026678234,1572898.776328125,2991410.542578125,4307419.57421875,1250.155562077012,1401.7481043667235,1517.7636893008275,258.9632559275608,7.983906823267971,1.0,2735.296875,53.202735900878906,705.0381950060371,303.2339971239769
57799.6033969894,1579632.5784375002,2994856.0882031247,4295410.343203125,1261.510693398239,1411.328249687754,1525.0254649337135,261.82821228816016,7.930666376500061,1.0,2795.6015625,55.17625045776367,705.2759001844471,303.26121831608185
57799.6041493043,1546221.5065624998,2997866.661015625,4332290.960078125,1208.3209212712236,1371.9163275656824,1492.5876308165305,258.1063064042586,8.158666154422374,1.0,2782.23046875,57.90059280395508,704.8728506461844,303.1781649307714
57799.6048784703,1563271.09046875,2998946.128515625,4311179.885859375,1240.6603197290526,1396.926183000359,1513.5048034950655,262.4049182662806,7.873207983584043,1.0,2799.396484375,60.023494720458984,705.2224500061606,303.2281848629195
57799.6056192145,1593788.48734375,3010668.7750000004,4338530.904375,1288.966338575209,1435.9776210798645,1551.230692121795,260.3729312185922,7.712569200362444,1.0,2784.814453125,56.14992904663086,705.0932799643477,302.94167931200315
57799.6063599512,1594769.452109375,3019263.26515625,4350483.831250001,1285.10089934471,1434.121288494214,1550.2298872412114,261.9646940620753,7.572451069115515,1.0,2771.548828125,54.86124801635742,705.0444869185018,303.1997138738448
57799.6070891172,1607892.491015625,3021948.0044531245,4344373.774140625,1317.5022091604167,1460.9204580715582,1574.454195534265,265.0836350305569,7.357414705595614,1.0,2780.50390625,55.90762710571289,705.1875303746011,303.2684209197859
57799.6078182906,1587914.3793749998,3030533.7201562496,4388597.06625,1280.9085903447005,1433.6361583449825,1553.8769222211972,264.68384455815755,7.830121727037268,1.0,2817.43359375,55.39950942993164,705.077245780075,302.79178438385003
57799.6085706055,1624730.32484375,3036407.794921875,4382610.63078125,1375.5573604416627,1512.8125864531128,1626.497442370895,269.64502818706086,6.895803107672411,1.0,2823.009765625,57.4227294921875,705.2396764245258,303.15182476308246
57799.6092997715,1601151.93453125,3038795.29859375,4414974.482265625,1321.2642511750273,1468.6003886533376,1588.7799021084543,266.3833741341942,7.296340830932234,1.0,2818.056640625,55.21744918823242,704.9576913844055,302.8323087649539
57799.6100173593,1605571.5871093748,3040655.4302343754,4389463.479687501,1332.2524515984346,1478.1299400617766,1595.5490028247455,274.8810806359847,7.030766535634605,1.0,2861.20703125,53.63945770263672,705.3225873573376,303.40232386518414
57799.6107696742,1588360.471171875,3039828.086015625,4396008.349296875,1285.0679077995255,1439.2234276858492,1559.8673907001917,270.0998524417853,7.475563376383092,1.0,2901.927734375,56.10517883300781,705.1421762624701,303.29921751049557
57799.6115104184,1596748.063671875,3051915.01640625,4443633.0259374995,1299.3552476186642,1452.553604569535,1576.0751765659847,265.93722549943624,7.374805199254135,1.0,2854.55078125,57.12616729736328,704.8065095227771,302.95086410914024
57799.6122511551,1591614.8629687498,3051366.786015625,4410159.603515625,1293.92116215859,1448.6856193793,1570.4233002895382,279.1764993013994,7.70168715300737,1.0,2900.1953125,60.36104202270508,705.5804732982499,302.96598383186904
57799.6129918993,1562849.291875,3050418.839140625,4453840.209453125,1253.5098984735976,1418.6152931799184,1547.5266486837088,271.2204446775515,7.391254497019168,1.0,2893.732421875,59.35011672973633,704.7923863218929,303.26520228456
57799.613732636,1528051.382265625,3050392.8529687496,4473420.78671875,1182.5991680615223,1364.5025606883264,1500.1812386114023,267.5681713686444,8.274418345210723,1.0,2979.685546875,58.33906555175781,704.6318832073413,302.9853656976438
57799.6144733801,1504157.076796875,3045735.713984375,4450035.0759375,1153.4187609537644,1343.9608776383927,1480.2685596296133,273.81577061197777,8.622132179823346,1.0,2961.84375,64.38103485107422,705.0952337101148,302.912830198038
57799.6152256951,1552451.4173437501,3055743.233359375,4432690.57078125,1221.7965638607411,1394.2123234890553,1522.5927024170362,276.86570042875013,7.921675409261255,1.0,2915.107421875,63.52117156982422,705.1706741061985,303.4285944149654
57799.6159664318,1571305.157890625,3057109.2368750004,4453442.975859376,1244.332528233636,1410.3702037240912,1538.0623408078834,266.73399332647125,7.8476456261527465,1.0,2906.0859375,59.714752197265625,704.8095128371237,302.9362820882707
57799.6166956052,1515972.87328125,3049333.59453125,4447433.89328125,1159.697655978165,1347.6132436634298,1481.3097060595105,267.0398285055307,8.790018013231634,1.0,2964.75390625,66.01012420654297,704.8590020960416,302.91731689838423
57799.6174363419,1489682.6248437501,3049163.904765625,4426476.2163281245,1128.6878231616217,1327.3151580535905,1461.1889289108644,274.1684873029427,9.29936001511874,1.0,3018.83203125,78.72015380859375,705.3254827520681,302.7102522073505
57799.6181886569,1454265.33828125,3040436.029375,4401623.88125,1082.6530057499378,1295.7947187205098,1430.3192973905489,272.9534567177695,10.103906623575167,1.0,3200.3515625,96.04798889160156,705.4817398843121,302.6383861403784
57799.6189409718,1473276.4563281247,3046869.93796875,4427030.19703125,1104.1386775746994,1310.6084034410928,1444.906979880647,264.3817443511379,9.342390782551169,1.0,3053.193359375,78.82108306884766,704.7615997908007,303.4119162152617
57799.6196701378,1513772.056484375,3049361.7290624995,4414763.39171875,1146.0558652161285,1337.1062695890391,1465.6982400002212,259.28918915130174,9.179575142015358,1.0,2937.96484375,76.77294158935547,704.8486434901439,302.91933483842354
57799.6204108819,1508700.012421875,3047971.6614062497,4397846.528515626,1138.9843343229124,1332.0931819391062,1459.4855512078805,261.70238186513933,9.292005812490324,1.0,3009.05859375,81.05062866210938,705.130768340865,302.7453155579278
57799.6211516187,1581498.3482812499,3061156.200625,4420946.78921875,1226.6688632107293,1394.2407162138593,1516.2027136869592,254.76166287887844,8.14328559487034,1.0,2824.279296875,61.58756637573242,704.3483405542688,303.5311472356198
57799.6218807846,1567950.070859375,3061821.7384375,4393162.464453125,1213.475692218624,1385.8675627400614,1506.180054699734,262.67309937941366,8.891835862288469,1.0,2960.236328125,73.42406463623047,705.2857220526033,302.6793746364432
57799.6226330996,1589044.0289843748,3069809.4302343745,4397011.847890625,1235.8319463420619,1402.5547756561311,1520.6244747369237,261.3655867861114,8.414000354952968,1.0,2842.4296875,63.82820129394531,704.9721676203507,303.42319151935277
57799.6233738437,1507133.069765625,3049224.4400781244,4437937.327265625,1134.7710660820499,1329.1539289711384,1459.0984867883146,245.51009739011252,9.18740989307546,1.0,2851.45703125,65.88301849365234,704.0255292484595,302.7567131592965
57799.6241145805,1504784.4342968748,3045225.13921875,4357654.4875,1136.4352183163312,1330.1623386601882,1453.5119224060945,266.52625707459543,9.752274473530088,1.0,2977.666015625,87.38417053222656,705.6224476408247,302.66262912390994
57799.6248553246,1531625.072578125,3052531.618046875,4380765.883671875,1167.8818093122527,1352.3995305328774,1474.7887970331522,260.3395763741379,8.970039795298458,1.0,2965.078125,77.52654266357422,705.125133538879,303.13941554906035
57799.6255960613,1646283.242734375,3070940.39078125,4425311.399687501,1343.3703100956143,1486.5012147949674,1599.5796813300137,249.23788326330407,7.387104992003987,1.0,2728.689453125,51.8958854675293,704.4141278027514,302.8200940077861
57799.6263483763,1587078.507734375,3052768.765390625,4369420.179296875,1246.605440156481,1408.7272556584405,1524.0305947872753,255.87827866335593,8.418792829377809,1.0,2825.94921875,68.66986846923828,705.1054750621058,302.7844111314949
57799.627089113,1652862.8528906251,3064508.73078125,4370216.011640625,1350.3676923385417,1490.4936624832835,1597.8794027163,253.75351655907318,7.614468391310993,1.0,2735.87890625,57.97277069091797,704.9999289319728,302.9359584440013
