mjd,aperture_sum_0,aperture_sum_1,aperture_sum_2,aperture_sum_err_0,aperture_sum_err_1,aperture_sum_err_2,bkg,fwhm,id,peak_flux,uncertainty,xcenter,ycenter
57799.5959780067,1675227.860234375,2459156.0590625,3429491.6689062496,1093.439492791884,1163.3661368966277,1236.5564301464465,1396.4815310244078,9.131217576284852,1.0,1967.38671875,50.05641174316406,702.2303326500074,301.6809943721769
57799.5963599533,1657079.645078125,2456525.0854687495,3442360.5394531246,1057.584106924359,1132.6195671809585,1209.009819500016,1409.494489312352,9.54985189027155,1.0,1999.26171875,50.900028228759766,702.0048073769932,301.19936827424846
57799.5967650488,1666542.035234375,2454510.0247656247,3427739.018671875,1087.1482914224373,1158.1390886170639,1231.585887029454,1397.0703520908648,8.820278649998047,1.0,1965.974609375,47.817649841308594,702.6957843981796,300.89384443555826
57799.5971701369,1672607.1084375,2459600.015234375,3436923.9289843747,1084.9093457664997,1155.9023187010303,1230.078239550745,1400.272254558679,9.284836151911849,1.0,1955.55078125,50.33944320678711,702.00459845912,301.52142107158426
57799.5975752324,1655128.71734375,2451664.5657812497,3428390.1384375,1067.9835911871126,1141.6830648280356,1217.0476705430513,1407.9217079352031,9.277755551457085,1.0,1979.33984375,50.90454864501953,702.0949270106785,301.6948570879536
57799.5979687497,1666179.1018750002,2457960.590390625,3419532.5003906246,1091.2616628714798,1162.7242291932666,1235.6864028052914,1401.056084691166,9.546096421162261,1.0,1970.01953125,48.74423599243164,701.3291980109572,302.1884261272572
57799.5983506963,1664310.35515625,2456207.39203125,3440374.2493749997,1086.7813413818947,1158.4433628301617,1233.2755341685454,1406.0665593465833,8.974258177053066,1.0,1963.0390625,48.11989974975586,701.1138669292433,301.0916243145966
57799.5987442136,1676501.8122656248,2458715.1148437504,3441068.404921875,1098.1644663500128,1167.4866608082866,1241.0980650217502,1396.903003684535,8.797317078236645,1.0,1988.025390625,48.69138717651367,702.4422550109532,300.7675342264469
57799.5991377309,1689521.702109375,2459017.787734375,3414638.2734375,1133.9920501268855,1199.0643297972747,1268.5394854554854,1379.0531928156145,8.501506246083768,1.0,1953.71484375,48.10321807861328,702.3915463690901,301.7954956553429
57799.5995312482,1665864.572890625,2454566.5905468753,3434801.6275,1081.7682579192056,1153.2951382910878,1227.363322310722,1397.2332652351545,9.088466447210715,1.0,2006.61328125,49.7664680480957,701.9522776394583,301.10261601613036
57799.5999247655,1701040.644140625,2458344.548828125,3419956.0225,1149.8155206545464,1212.032174381456,1280.449646350687,1364.4686924796829,8.502719036066718,1.0,1914.083984375,44.312252044677734,701.5648944383795,301.34622586017764
57799.6003182903,1733679.5954687502,2458518.4790625,3408631.5861718752,1259.3945768969243,1311.6511721606548,1373.5794637985605,1335.1211926860096,7.306154757281709,1.0,1892.9765625,44.07905197143555,701.8754988994208,301.35872223761703
57799.6007118076,1748070.0700781248,2462733.5975,3384017.621171875,1286.8115571152564,1336.5339515442065,1395.1508522338693,1317.92788474349,7.2123993146290815,1.0,1889.23828125,45.83271408081055,702.7062250367609,301.72344494600776
57799.6011168957,1719405.0885937498,2452936.2825781247,3395560.5277343746,1208.976180548259,1264.6284327061596,1327.8605754877167,1333.6021524084629,7.665676148317526,1.0,1853.390625,42.56882858276367,702.2000913669785,301.2062818860964
57799.6014988422,1723157.17234375,2454487.007578125,3377432.420859375,1208.0255671254884,1263.3448683564548,1325.3485390302687,1326.5101584457936,8.62224317995843,1.0,1881.59765625,44.183494567871094,700.473190923499,301.339511081198
57799.6018923596,1721096.516875,2459326.458125,3394897.891640625,1202.3472501294289,1259.0585064347615,1322.2403249605968,1336.2362277477507,7.7729531362555,1.0,1910.865234375,44.35001754760742,702.5982049816006,301.3309094073729
57799.6022858769,1739029.7604687498,2466256.937734375,3395350.683515625,1253.5861775983044,1306.3739755499344,1367.1661295392294,1330.0102862344586,7.296847592362498,1.0,1885.69921875,45.66138458251953,703.0382351268249,301.30023947448626
57799.6026909724,1740616.25515625,2465011.62984375,3414652.546796875,1248.2222853321653,1300.8130346524922,1362.9838525808882,1331.915088920967,7.81431823013182,1.0,1864.671875,43.22429275512695,701.9110912197307,301.1382742823866
57799.6030844897,1722103.998515625,2457277.265859375,3386923.993125,1193.7276967735102,1250.339966813948,1313.4164280690754,1331.0347621832311,8.324921584483093,1.0,1894.60546875,46.1097412109375,701.9015797742416,301.9231829271048
57799.6034895852,1731051.42953125,2456063.1240625,3384044.6129687503,1234.9194999112235,1288.1648593396912,1349.032616436215,1320.402243045612,7.701404095013907,1.0,1946.91015625,48.33078384399414,702.0522500438294,301.74471273116353
57799.6038831025,1736142.8307812503,2466849.8835156253,3418395.5259375,1240.0206523657002,1293.9151646874702,1356.4066094449238,1334.6286910574336,7.431179862287305,1.0,1862.064453125,45.58186721801758,701.810841752896,300.943266345417
57799.6042766199,1712282.5103906249,2458779.473984375,3408432.891171875,1180.865390356929,1239.820458582719,1305.3346192075833,1347.8302957344883,8.214271326365985,1.0,1902.640625,46.246063232421875,701.7816667425734,301.52108961148247
57799.6046701372,1729735.191796875,2467673.0934375003,3406849.8049999997,1206.7417862094544,1263.172772766997,1326.6455380074267,1339.557164351156,8.1256365264314,1.0,1865.017578125,45.93886947631836,702.0677197562892,301.67469855823725
57799.6050636545,1716050.2540625,2456626.9896874996,3394343.228515625,1194.9809600069168,1252.3552027821606,1316.0995002670852,1338.2286023527543,7.83504591906923,1.0,1868.4609375,45.28610610961914,702.3305942115757,301.52713206270187
57799.6054571792,1739333.3474218748,2468215.657109375,3415780.03515625,1238.1125175250618,1291.8466117126134,1354.487999749294,1335.1969529462797,7.800009374618126,1.0,1912.6484375,44.093421936035156,701.8055133470691,301.43567455992445
57799.6058506966,1745307.77125,2470065.79640625,3419860.0618750006,1274.469398164071,1326.0568193734337,1387.1820983030811,1334.3810856502425,7.217720376747798,1.0,1865.294921875,42.76166534423828,702.1368283040653,301.0475094457009
57799.6062557846,1745426.476953125,2469441.732109375,3407389.317421875,1258.0354793291708,1310.191737845348,1371.0652300866607,1328.4200077435007,7.487105092030687,1.0,1877.3359375,42.00583267211914,702.4304488574426,301.2676854143628
57799.6066493019,1744079.2699999998,2471245.6028906247,3418136.94703125,1271.5252846553315,1323.6167879923094,1384.992161211547,1336.0500878874698,7.46613450030151,1.0,1891.099609375,45.48613739013672,701.8506713291107,301.6223675950422
57799.6070428267,1749985.874375,2474866.6594531247,3419435.8896875,1288.3599252124036,1339.431940422843,1400.0136154933975,1336.1602288467118,7.339683140117739,1.0,1891.046875,45.62594223022461,701.9505839073064,301.7134127619658
57799.607436344,1749743.018203125,2476697.7356249997,3424988.275390625,1285.7516781355446,1337.2213860146135,1398.2458115122752,1339.5842035701821,7.312664043951875,1.0,1876.060546875,46.70327377319336,702.2823298722185,301.42407831246766
57799.6078298613,1750871.5130468751,2482037.3746875,3444599.032578125,1284.8081028037898,1336.9122826595164,1399.265264245533,1350.5547084747818,7.273104491346418,1.0,1884.611328125,43.38612747192383,702.4196222629472,300.8493397457425
57799.6082118079,1736819.106640625,2485565.501015625,3453248.62359375,1245.2350366968606,1301.4695528111795,1366.6647624285079,1371.0686108916898,7.766993144855914,1.0,1935.97265625,45.7122917175293,701.5314214449459,301.6433430100021
57799.6086053252,1758577.86890625,2490258.6637500003,3450322.916875,1357.4641922135884,1406.9136139569662,1466.7882867753735,1357.8743302405992,6.639199654412054,1.0,1946.333984375,45.873207092285156,702.3004370416221,301.6280432278245
57799.6089872718,1761961.333203125,2493171.9196093753,3465768.263671875,1358.7410993960507,1408.0491218958348,1468.7262407266287,1362.5395272437781,6.599550160261898,1.0,1921.265625,43.830223083496094,702.2840836749019,301.1323569185999
57799.6093807891,1746226.753359375,2491580.828828125,3479696.5227343747,1277.9115816623914,1332.210473786355,1397.966082516386,1380.822246235982,7.249839303599674,1.0,1936.46484375,44.54724884033203,701.9715122227067,301.1588443906252
57799.6097743064,1758343.4992187498,2497450.96234375,3481994.202421875,1341.1406630922286,1392.161837541871,1454.7920723934833,1375.1309125517696,6.929033816411537,1.0,1961.71875,49.80131912231445,701.6867142059934,301.24774508987144
57799.6101678237,1759227.761796875,2498019.332890625,3465196.408125,1330.6969186292074,1382.0517760757555,1443.9903178554566,1370.2898784843926,6.957406023490111,1.0,1930.93359375,43.6670036315918,702.1503549978123,301.79153360219897
57799.6105729192,1743699.2396093751,2489703.06984375,3448905.466875,1295.7576657875752,1349.502091333296,1412.1694008970148,1371.448847306099,6.850722583913348,1.0,1947.05859375,48.09961700439453,702.7457698824778,301.57316922740176
57799.6109664366,1740761.6189843751,2486927.216171875,3454614.1686718753,1263.4719088505078,1318.5679583018846,1383.2638585292514,1373.074458260463,7.535014876197902,1.0,1934.39453125,43.20585250854492,701.9904710390219,301.80062628522825
57799.6113599539,1744450.1711718752,2495845.852734375,3483269.068203125,1267.5321908645672,1323.18158832181,1389.2790467039356,1386.0783760971453,7.33977228591535,1.0,1984.751953125,45.29513168334961,701.7563144293805,301.25550997537323
