mjd,aperture_sum_0,aperture_sum_1,aperture_sum_err_0,aperture_sum_err_1,bkg,fwhm,id,peak_flux,uncertainty,xcenter,ycenter
57799.5960127339,858627.41921875,924808.380234375,587.8514300433538,593.4984866429407,769.1025960789286,8.377877385726743,1.0,887.609375,32.76188278198242,910.083658860897,244.73129351002967
57799.5967534706,855337.472421875,921136.40671875,588.448366027114,594.0480339154536,764.6134818571883,8.17197048032394,1.0,892.107421875,32.32198715209961,910.391101516609,244.50804578459534
57799.5974942148,856578.45796875,921498.098984375,598.1713453576511,603.5287854779693,761.4002040736273,8.157961220963283,1.0,891.107421875,33.999114990234375,909.5632013454565,245.39819095296147
57799.5982349515,842356.8399218752,909130.301484375,572.860132745728,578.7540888366611,747.2861087747544,8.321403279077158,1.0,898.92578125,34.56314468383789,909.4217398014279,244.50231041443078
57799.5989641175,864970.0367968751,928500.124375,614.3966830881807,619.3668445090417,761.7261768491046,7.745077995503585,1.0,864.85546875,33.45441818237305,910.4703769078072,244.70819255942598
57799.5997048616,864903.1424218749,926819.0171874999,625.3496300349518,630.0057242345972,732.7876902239304,7.644175305122871,1.0,878.5078125,33.43990707397461,909.4379829548934,244.65285828223162
57799.6004571766,884177.576015625,940409.501953125,713.8302978949619,717.1915229378294,741.6764313698462,6.297881071695531,1.0,881.919921875,32.0687141418457,910.2638085274593,244.98872774885643
57799.6011863425,870559.34640625,931021.5355468751,647.4193516652908,651.702667285424,716.6891949371718,7.288209543055574,1.0,873.1171875,33.312137603759766,909.2381872781598,244.5739630367514
57799.6019386575,879325.1327343751,937418.654765625,675.3228245311747,679.1307526513413,737.561227299501,6.8103965976460215,1.0,846.458984375,31.230802536010742,911.1696316463801,244.67473875217928
57799.6026678234,879093.26203125,936957.693828125,672.2449465780818,676.0188069427066,727.6615900708484,7.073240865431907,1.0,841.068359375,32.13024139404297,909.8522396455701,244.87417462343802
57799.6034085676,877755.61375,934907.554921875,686.7800564936834,690.3924350970536,730.8723114462335,6.615491896498051,1.0,832.888671875,30.6882381439209,910.21082883885,244.91514567706392
57799.6041493043,869543.95828125,928844.2596875,650.8801267978992,654.9741178507143,723.6127067201604,7.229890746962521,1.0,874.80078125,32.078861236572266,909.704313968026,244.87471334956078
